1158|髈|髈||
1159|𤞇|𤞇||
1160|槸|槸||
1163|潀|潀||
1168|𦇢|𦇢||
1174|烜|烜||
1189|𡃫|𡃫||
1193|𨿳|𨿳||
1196|𣡘|𣡘||
1200|𡰿|𡰿||
1211|𦝠|𦝠||
1212|𠛝|𠛝||
1213|齲|齲||
1232|𤩹|𤩹||
1235|赇|赇||
1236|𩚜|𩚜||
1238|𩱓|𩱓||
1246|悓|悓||
1257|孿|孿||
1262|并|并||
1268|𣠙|𣠙||
1274|𡱂|𡱂||
1275|𣡷|𣡷||
1281|嫉|嫉||
1286|溜|溜||
1302|䡼|䡼||
1308|椭|椭||
1321|勛|勛||
1322|𠀠|𠀠||
1323|𡉄|𡉄||
1326|𦇶|𦇶||
1334|燮|燮||
1335|盧|盧||
1337|𣞿|𣞿||
1341|𣩲|𣩲||
1346|馥|馥||
1348|𡐦|𡐦||
1358|熊|熊||
1364|𣾪|𣾪||
1380|𡚼|𡚼||
1385|𤅍|𤅍||
1390|棥|棥||
1398|𥃳|𥃳||
1404|狎|狎||
1410|𤞭|𤞭||
1412|𢦗|𢦗||
1417|𨔜|𨔜||
1424|𩉞|𩉞||
1430|澂|澂||
1435|𡎹|𡎹||
1437|絥|絥||
1440|𤨕|𤨕||
1442|貦|貦||
1448|𢕈|𢕈||
1457|𡲘|𡲘||
1458|泟|泟||
1461|栀|栀||
1463|𩵎|𩵎||
1470|媠|媠||
1478|坰|坰||
1480|柩|柩||
1488|𧐉|𧐉||
1489|穡|穡||
1495|䟝|䟝||
1496|𪑍|𪑍||
1516|榣|榣||
1524|烮|烮||
1533|𨔃|𨔃||
1542|棅|棅||
1547|𨙠|𨙠||
1550|𦇈|𦇈||
1551|殯|殯||
1552|𦂴|𦂴||
1556|𦏺|𦏺||
1558|射|射||
1559|邕|邕||
1573|梪|梪||
1577|𢍶|𢍶||
1584|𤃁|𤃁||
1587|𡎩|𡎩||
1589|𣿛|𣿛||
1590|鉳|鉳||
1591|𢘦|𢘦||
1595|𡣃|𡣃||
1596|𣿜|𣿜||
1599|𢖉|𢖉||
1600|溊|溊||
1603|𥟸|𥟸||
1605|孺|孺||
1610|鼓|鼓||
1618|𦆀|𦆀||
1630|𣖀|𣖀||
1632|欚|欚||
1640|緤|緤||
1642|𩍕|𩍕||
1648|𣀵|𣀵||
1651|𡡿|𡡿||
1654|秆|秆||
1663|𢘪|𢘪||
1672|𥿫|𥿫||
1676|遙|遙||
1677|𨑟|𨑟||
1678|泅|泅||
1685|酒|酒||
1693|𥏼|𥏼||
1696|𡖇|𡖇||
1707|䌌|䌌||
1713|妍|妍||
1717|孤|孤||
1718|𤴐|𤴐||
1719|業|業||
1721|明|明||
1724|恲|恲||
1726|𣳯|𣳯||
1728|𣀧|𣀧||
1734|似|似||
1741|蚊|蚊||
1749|汸|汸||
1750|漁|漁||
1764|𡟽|𡟽||
1776|𣴠|𣴠||
1786|緞|緞||
1787|縀|縀||
1788|𦇣|𦇣||
1798|蚤|蚤||
1800|𤦼|𤦼||
1804|眎|眎||
1805|𢑚|𢑚||
1806|狧|狧||
1807|𥞸|𥞸||
1815|勰|勰||
1821|熸|熸||
1822|𡌮|𡌮||
1829|帶|帶||
1831|緩|緩||
1838|砥|砥||
1840|𦢻|𦢻||
1848|污|污||
1849|拆|拆||
1850|蚍|蚍||
1856|𣚌|𣚌||
1859|跰|跰||
1865|䋊|䋊||
1874|𡭴|𡭴||
1875|𦄲|𦄲||
1880|肶|肶||
1889|刐|刐||
1899|覜|覜|<(兆見)|兆見
1900|𨏏|𨏏||
1902|孩|孩||
1905|𥃧|𥃧||
1907|䢤|䢤||
1910|𤄗|𤄗||
1914|忎|忎||
1915|𨗁|𨗁||
1923|䝿|䝿||
1924|𥹏|𥹏||
1928|鎦|鎦||
1932|𡲬|𡲬||
1934|圻|圻||
1941|𨾀|𨾀||
1942|𤼤|𤼤||
1952|𢂲|𢂲||
1958|𠅏|𠅏||
1961|𨬙|𨬙||
1963|秙|秙||
1965|𩯰|𩯰||
1980|𣄧|𣄧||
1981|𣡺|𣡺||
1982|𨙚|𨙚||
1996|鼍|鼍||
2002|幒|幒||
2008|秬|秬||
2010|歸|歸||
2020|彝|彝||
2021|歏|歏||
2024|轊|轊||
2029|弔|弔||
2041|殁|殁||
2046|炱|炱||
2049|䵹|䵹||
2073|柳|柳||
2079|緃|緃||
2090|𩩹|𩩹||
2094|𣿲|𣿲||
2098|𡟡|𡟡||
2102|𩠖|𩠖||
2106|沕|沕||
2109|樐|樐||
2112|𥹃|𥹃||
2120|蚓|蚓||
2121|𨙦|𨙦||
2126|縘|縘||
2129|𩕢|𩕢||
2139|帨|帨||
2149|朽|朽||
2154|繯|繯||
2159|𡤚|𡤚||
2160|𨘤|𨘤||
2165|枲|枲||
2176|𥏾|𥏾||
2178|𧚲|𧚲||
2179|𧒕|𧒕||
2190|𦤙|𦤙||
2193|旣|旣||
2195|𦄱|𦄱||
2203|𤒺|𤒺||
2206|羿|羿||
2214|𡾑|𡾑||
2223|脀|脀||
2227|𢐡|𢐡||
2228|𢐀|𢐀||
2232|檴|檴||
2238|婿|婿||
2247|亏|亏||
2253|櫄|櫄||
2257|𥪬|𥪬||
2265|棿|棿||
2266|𤼝|𤼝||
2268|𣺝|𣺝||
2271|渠|渠||
2282|啎|啎||
2285|隉|隉||
2286|兆|兆||
2301|𣶄|𣶄||
2305|䊀|䊀||
2310|𤈇|𤈇||
2319|𪋲|𪋲||
2327|穗|穗||
2329|茠|茠||
2335|膚|膚||
2339|𡛖|𡛖||
2343|瘤|瘤||
2345|𤻮|𤻮||
2350|𠨘|𠨘|<(必)|必
2353|𢂷|𢂷||
2355|𪘢|𪘢||
2361|𦃌|𦃌||
2362|隘|隘||
2364|𣥁|𣥁|<(堇鳥欠)|堇鳥欠
2366|譍|譍||
2368|𠣊|𠣊||
2369|𤌼|𤌼||
2387|翶|翶||
2395|𣅌|𣅌||
2396|𤉡|𤉡||
2404|荂|荂||
2419|䪥|䪥||
2427|粱|粱||
2432|烟|烟||
2433|頏|頏||
2442|槱|槱||
2449|辄|辄||
2451|𨳢|𨳢||
2456|䏕|䏕||
2463|𡰖|𡰖||
2472|燡|燡||
2476|矦|矦||
2480|𤸪|𤸪||
2484|𡜶|𡜶||
2487|𥽀|𥽀||
2492|𩩎|𩩎||
2500|𧖨|𧖨||
2504|𦙄|𦙄||
2512|𢝲|𢝲||
2519|襍|襍||
2521|𩏏|𩏏||
2523|䳽|䳽||
2535|怖|怖||
2541|瘦|瘦||
2552|裸|裸||
2553|𨜣|𨜣||
2559|彬|彬||
2570|𨥏|𨥏||
2592|𤒫|𤒫||
2593|甌|甌||
2595|梲|梲||
2601|暜|暜||
2602|𡎯|𡎯||
2629|𣷻|𣷻||
2633|𩰎|𩰎||
2638|瘞|瘞||
2641|郌|郌||
2642|𦥫|𦥫||
2644|綊|綊||
2649|𤞍|𤞍||
2650|𤕯|𤕯||
2655|敷|敷||
2664|𡾹|𡾹||
2669|湌|湌||
2690|𨌰|𨌰||
2699|迁|迁||
2701|樢|樢||
2702|法|法||
2708|𧅪|𧅪||
2712|𤓞|𤓞||
2715|𤺝|𤺝||
2716|𣘅|𣘅||
2718|𧑎|𧑎||
2722|𣔳|𣔳||
2723|鋙|鋙||
2731|𢑺|𢑺||
2735|𡰢|𡰢||
2738|愛|愛||
2739|𥉁|𥉁||
2741|對|對||
2744|尪|尪||
2751|𪁤|𪁤||
2754|𥜱|𥜱||
2756|𣲏|𣲏||
2760|𦨈|𦨈||
2763|杭|杭||
2764|𧖑|𧖑||
2778|𤤘|𤤘||
2784|繭|繭||
2796|糳|糳||
2801|餾|餾||
2804|療|療||
2805|瘚|瘚||
2816|𦃉|𦃉||
2820|𧟊|𧟊||
2825|肱|肱||
2829|求|求||
2830|及|及||
2832|𧖴|𧖴||
2833|乖|乖||
2836|𢾁|𢾁||
2837|𡛔|𡛔||
2838|迃|迃||
2846|折|折||
2847|汽|汽||
2853|秌|秌||
2856|砮|砮||
2862|𩒲|𩒲||
2863|𩦣|𩦣||
2864|裠|裠||
2872|韐|韐||
2874|䊸|䊸||
2876|覛|覛|<(𠂢見)|𠂢見
2877|褌|褌||
2879|𣏙|𣏙||
2894|銿|銿||
2910|甑|甑||
2926|𠭰|𠭰||
2933|孼|孼||
